id,userName,priority,publisher
1164541,michaloleszczyk,1,Spoiler Master Podcast
1243927,tru3,1,Magazyn SFP
1418184,Cateborough,1,POPcast - podcast o popkulturze
1589044,darek_arest,1,krytyk niezależny
3281021,smolinskisebastian,1,krytyk niezależny
3784653,makina13,1,Canal+
4371814,klaracykorz,1,Dwutygodnik
4868079,Jakub_Socha_filmweb,1,Dwutygodnik
5459518,matdemski,1,Przekrój
761870,ksiawcik_13,2,Filmweb
1412579,jack_sobczynski,2,Newonce.net
1758078,lukrecjaborhia,2,jakbyniepaczec
2740968,Igi3,2,krytyk niezależny
2894535,jakub_majmurek,2,krytyk niezależny
2925405,Cinestetyk,2,Filmweb
3344911,sergiuszowo11,2,krytyk niezależny
3372932,mermvido,2,Queer.pl
3432967,bartosz_czartoryski,2,Filmweb
5495254,Jakub_Demianczuk,2,Polityka
78262,blazej35,3,Ale Kino+
200038,Arwen,3,Vogue
208808,GrzegorzLaguna,3,krytyk niezależny
645341,Westman,3,Więź
808077,sobol4ever,3,Watching Closely
1057560,fanfan_2,3,Kultura Liberalna
2230269,kajutex,3,krytyczka niezależna
2920047,Major_Tom_The_Cat,3,krytyk niezależny
3139370,AdamKrukkk,3,krytyk niezależny
3991316,no_face_no,3,Vogue
4863142,AnnaTatarska,3,Vogue
4879381,martabalaga,3,Cineuropa
4884480,RadoslawOsinski,3,krytyk niezależny
93132,Cosimo_Villa_Nova,4,Soundrive
126395,air23jordan,4,krytyk niezależny
666270,David_Frost,4,Sfilmowani
742421,_C_Z_,4,Gazeta Wyborcza
1373429,bkkb,4,Wprost
1616167,Eff1,4,NaTemat.pl
2022710,olberlin,4,Filmweb
2271782,Buszart,4,krytyk niezależny
3297371,blizej_ekranu,4,krytyk niezależny
3861155,delena1314,4,krytyczka niezależna
3920174,krrrieg,4,krytyczka niezależna
4818850,KarolinaPasternak,4,Newsweek
4857228,Maciej_Niedzwiedzki,4,film.org.pl
4863152,KadamL,4,TVP Kultura
4888381,piogus,4,Co Jest Grane
4903397,kamilmsmialkowski,4,krytyk niezależny
5163397,Tutaj_17,4,krytyk niezależny
49468,Muszynski,5,Filmweb
867323,Marcin_P,5,Filmweb
875720,michalwalkiewicz,5,Filmweb
1032473,Dorota,5,Filmweb
1438154,jultacz,5,Filmweb
1985708,jpopielecki,5,Filmweb
2025458,EvvLe,5,Filmweb
51466,LeShaq,6,Ekrany
128794,santu,6,Ekrany
705218,mwol,6,Polskie Radio Londyn
1134789,donkamillo3,6,Ekrany
1554932,prymcio11,6,Pełna sala
1641064,Varjaaa,6,Ekrany
2595124,dem3000,6,Kinowy Ekspres
5306240,Marcin_Radomski_,6,KINOrozmowa
5428236,WPROST,6,Wprost
5921581,MCh092788,6,krytyk niezależny
3160159,alekhudzik,7,Newsweek
