id,title
862,The Green Mile
1048,The Shawshank Redemption
998,Forrest Gump
671,Léon
9136,Requiem for a Dream
628,The Matrix
1047,The Silence of the Lambs
936,Gladiator
299113,Avatar
9509,Shrek
179,Saving Private Ryan
837,Fight Club
1039,Pulp Fiction
187,Titanic
583390,Intouchables
1089,The Godfather
500891,Inception
464256,Shutter Island
702,Se7en
825,The Sixth Sense
32225,The Pianist
1065,The Lord of the Rings: The Fellowship of the Ring
37309,Pirates of the Caribbean: The Curse of the Black Pearl
487211,The Hangover
137747,Inglourious Basterds
459974,Seven Pounds
1211,Schindler's List
31864,A Beautiful Mind
468296,Slumdog Millionaire
1470,Cast Away
1163,Seksmisja
836,American Beauty
31413,Dzień świra
1019,One Flew Over the Cuckoo's Nest
123383,The Curious Case of Benjamin Button
40252,The Butterfly Effect
476580,Gran Torino
1020,The Shining
124613,The Da Vinci Code
620541,Django Unchained
189,The Truman Show
236351,The Dark Knight
1093,Scent of a Woman
6878,The Lion King
2,The Devil's Advocate
259945,The Prestige
420136,The Boy in the Striped Pyjamas
426597,The Wolf of Wall Street
11841,The Lord of the Rings: The Return of the King
217801,I Am Legend
30633,American History X
375629,Interstellar
426062,Sherlock Holmes
5355,Edward Scissorhands
31451,The Lord of the Rings: The Two Towers
136005,The Departed
1236,What's Eating Gilbert Grape
1262,Dead Poets Society
208,La vita è bella
297829,Into the Wild
38887,The Notebook
37889,Bruce Almighty
1052,Braveheart
694378,Bogowie
526137,Black Swan
32014,Ice Age
1033,Goodfellas
1222,Philadelphia
124119,Hooligans
98590,Finding Neverland
529,Kiler
343217,The Hobbit: An Unexpected Journey
98586,Secret Window
21,Good Will Hunting
565637,The Girl with the Dragon Tattoo
123697,Million Dollar Baby
1502,Hannibal
4833,Scarface
698847,Whiplash
111532,Lord of War
30701,12 Angry Men
843,Chłopaki nie płaczą
108931,Mr. & Mrs. Smith
1275,A Clockwork Orange
695409,Gone Girl
118442,Perfume: The Story of a Murderer
32362,Catch Me If You Can
882,"Girl, Interrupted"
30571,Harry Potter and the Sorcerer's Stone
5158,Donnie Darko
180040,V for Vendetta
1046,Taxi Driver
203657,The Illusionist
539270,The King's Speech
163597,300
31831,K-PAX
107404,Pirates of the Caribbean: Dead Man's Chest
240046,The Pursuit of Happyness
465818,Alice in Wonderland
548252,Limitless
250272,The Devil Wears Prada
33200,Kill Bill: Vol. 1
200092,Blood Diamond
259289,No Country for Old Men
34282,Harry Potter and the Prisoner of Azkaban
1002,Interview with the Vampire: The Vampire Chronicles
6721,Home Alone
567127,The Help
1090,The Godfather: Part II
95746,Harry Potter and the Goblet of Fire
514675,Deadpool
401089,Taken
507169,Prisoners
586583,The Revenant
121760,Pirates of the Caribbean: At World's End
896,Miś
31419,Black Hawk Down
106376,Batman Begins
122541,Iron Man
623761,Now You See Me
658802,Hacksaw Ridge
504776,The Hunger Games
506803,Silver Linings Playbook
107535,Madagascar
989,Trainspotting
661817,The Grand Budapest Hotel
31416,Le fabuleux destin d'Amélie Poulain
1326,Snatch
372601,The Bucket List
62,The Game
208687,1408
4258,Blow
476021,Harry Potter and the Deathly Hallows: Part 2
506756,The Dark Knight Rises
144,The Fifth Element
691862,The Theory of Everything
104541,Charlie and the Chocolate Factory
876,American Pie
469867,The Hobbit: The Desolation of Smaug
103907,Symetria
74,Meet Joe Black
371515,The Avengers
112584,Sin City
731541,Room
7656,Memento
8823,Back to the Future
37311,Troy
1092,Apocalypse Now
810167,Joker
715533,The Martian
714192,The Hateful Eight
506934,The Great Gatsby
210898,Babel
656040,American Sniper
202908,El laberinto del fauno
439584,The Reader
556864,Sherlock Holmes: A Game of Shadows 
32359,Red Dragon
191945,Sweeney Todd: The Demon Barber of Fleet Street
539509,Sala samobójców
491118,Pirates of the Caribbean: On Stranger Tides
11843,Reservoir Dogs
759,Star Wars
580801,Cloud Atlas
1212,Jurassic Park
38377,Cidade de Deus
396969,Harry Potter and the Deathly Hallows: Part 1
130130,American Gangster
399746,Drive
9695,Spider-Man
462441,Twilight
399328,WALL·E
627599,The Hunger Games: Catching Fire
844,Sleepy Hollow
809630,Green Book
980,Alien
97112,Mystic River
99390,Love Actually
331014,How to Train Your Dragon
519960,The Hangover Part II
644005,The Imitation Game
191345,Zodiac
657859,Dallas Buyers Club
680709,Birdman
238725,The Mist
767406,"Three Billboards Outside Ebbing, Missouri"
1237,Misery
451244,Skyfall
1008,Rain Man
113008,Harry Potter and the Order of the Phoenix
142402,Harry Potter and the Half-Blood Prince
36447,The Last Samurai
725816,Suicide Squad
734,Blade Runner
1075,American Psycho
181220,Transformers
718819,La La Land
525,Star Wars: Episode V - The Empire Strikes Back
681825,The Fault in Our Stars
107996,Crash
5421,Enemy at the Gates
475202,Law Abiding Citizen
107101,Constantine
269102,Mr. Nobody
7738,Minority Report
32302,Harry Potter and the Chamber of Secrets
772,Fear and Loathing in Las Vegas
107642,Casino Royale
528258,The Social Network
293878,Changeling
7585,The Mask
547,Star Wars: Episode VI - Return of the Jedi
4545,Chocolat
127025,War of the Worlds
439908,Lejdis
723550,Spotlight
1210,Twelve Monkeys
3690,Ace Ventura: Pet Detective
30588,The Fast and the Furious
703836,Zootopia
1029,Casino
467091,Public Enemies
118497,Corpse Bride
104454,Lost in Translation
11726,Dirty Dancing
1507,Pay It Forward
681141,Dunkirk
449935,Hachi: A Dog's Tale
644432,About Time
106408,The Terminal
6531,Jak rozpętałem drugą wojnę światową
662242,The Hobbit: The Battle of the Five Armies
1321,Psycho
4340,Bridget Jones's Diary
646395,Her
95492,"I, Robot"
643366,Captain Phillips
619201,Bohemian Rhapsody
1216,Raiders of the Lost Ark
564230,Gravity
231725,Wszyscy jesteśmy Chrystusami
94745,The Aviator
107855,Eternal Sunshine of the Spotless Mind
34582,The Transporter
609699,Ted
520,Star Wars: Episode I - The Phantom Menace
5507,Men in Black
5994,Dumb & Dumber
845,Pi
10682,The Ninth Gate
8625,Full Metal Jacket
671051,Star Wars: Episode VII - The Force Awakens
33128,The Life of David Gale
470384,Dom zły
8586,Pearl Harbor
630714,The Judge
1035,Awakenings
1038,Once Upon a Time in America
660,Heat
33404,Shrek 2
686419,Ex Machina
433913,2012
632419,12 Years a Slave
436704,Up
564225,"Crazy, Stupid, Love."
228227,Deja Vu
651932,Frozen
750258,Split
594357,Guardians of the Galaxy
687712,Lucy
491715,Iron Man 3
112761,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
312016,Testosteron
564694,Róża
464478,District 9
116327,Brokeback Mountain
31497,The Bourne Identity
630798,Blade Runner 2049
697720,Fantastic Beasts and Where to Find Them
804561,Once Upon a Time ... in Hollywood
736182,Manchester by the Sea
123312,Ratatouille
32375,Equilibrium
724694,Wołyń
752725,Perfetti sconosciuti
9,Armageddon
562509,Midnight in Paris
732548,The Big Short
107377,El Maquinista
1045,The Deer Hunter
99027,Skazany na bluesa
992,Terminator 2: Judgment Day
616,Sleepers
1416,Scary Movie
478702,Iron Man 2
624525,La migliore offerta
712896,Arrival
682170,Inside Out
798143,Gi-saeng-chung
1053,Apollo 13
1318,Breakfast at Tiffany's
1067,Primal Fear
609966,Southpaw
97088,21 Grams
3673,A.I. Artificial Intelligence
571418,One Day
627100,The Conjuring
609757,The Maze Runner
1213,Indiana Jones and the Last Crusade
1113,Sami swoi
95747,Mad Max: Fury Road
330332,Angels & Demons
107049,Man on Fire
200726,Hancock
173500,Memoirs of a Geisha
557330,Maleficent
631979,Drogówka
33295,A Walk to Remember
995,The Terminator
747433,Pitbull. Nowe porządki
419862,Revolutionary Road
219933,Death Proof
38233,The Passion of the Christ
683180,Fury
1091,The Godfather: Part III
723705,Me Before You
10701,The Others
682272,Kingsman: The Secret Service
5982,Star Wars: Episode III - Revenge of the Sith
113329,Vinci
325418,Thor
599595,Les Misérables
1458,2001: A Space Odyssey
735683,Ostatnia rodzina
125487,Pride & Prejudice
32380,The Hours
629764,Divergent
640318,Jagten
8263,Ocean's Eleven
587175,In Time
418967,Source Code
272177,Juno
1099,Life of Brian
124098,Wesele
1142,Psy
450915,Yes Man
624892,Pokłosie
637247,Avengers: Age of Ultron
1319,Der Name der Rose
665,Jumanji
461432,The Imaginarium of Doctor Parnassus
613510,Listy do M.
648982,Chce się żyć
626983,The Hunger Games: Mockingjay - Part 1
592843,The Age of Adaline
606542,Pirates of the Caribbean: Dead Men Tell No Tales
482376,Doctor Strange
611322,American Hustle
405077,Vicky Cristina Barcelona
808863,Boże Ciało
542576,A Star Is Born
105575,Kill Bill: Vol. 2
8790,Poranek kojota
375547,Mamma Mia!
572639,The Perks of Being a Wallflower
5289,Independence Day
693758,Avengers: Infinity War
286244,Fracture
32049,The Believer
637019,Miasto 44
13,The Big Lebowski
704026,The Intern
736411,Baby Driver
775970,The Shape of Water
544545,Jesteś Bogiem
108083,Kingdom of Heaven
713552,Logan
1104,Rosemary's Baby
10213,The Boondock Saints
7603,The Matrix Reloaded
305474,Atonement
516,Donnie Brasco
152844,We're the Millers
5778,Gangs of New York
119514,Les choristes
1270,Die Hard
34888,The Day After Tomorrow
484295,The Tourist
628262,Rush
744969,Nocturnal Animals
728144,Bridge of Spies
271956,Katyń
810402,Kler
849,The Bone Collector
754287,Contratiempo
750026,Collateral Beauty
622564,Thor: The Dark World
781,Dług
36365,Big Fish
103997,National Treasure
696433,Now You See Me 2
558175,Passengers
1068,Platoon
7117,The Exorcism of Emily Rose
1221,Empire of the Sun
298581,Wojna polsko-ruska
11673,Le grand bleu
666170,"Love, Rosie"
764039,Zimna wojna
34565,The Ring
706209,Captain America: Civil War
523230,Prometheus
394398,The Blind Side
459973,Brothers
9641,Beetle Juice
587358,Friends with Benefits
6722,Home Alone 2: Lost in New York
104010,The Village
713103,Sicario
122832,Tangled
261979,The Holiday
272987,Jumper
689545,Relatos salvajes
483333,Dark Shadows
994,Aliens
1013,Dracula
80,Kiler-ów 2-óch
1471,Billy Elliot
442004,The Day the Earth Stood Still
816979,Knives Out
32358,8 Mile
1465,Star Wars: Episode II - Attack of the Clones
760429,Deadpool 2
655761,Fifty Shades of Grey
5103,"Il buono, il brutto, il cattivo."
629125,Boyhood
480762,(500) Days of Summer
1286,Amadeus
1049,Natural Born Killers
221722,Next
127272,The Island
9190,Rocky
706142,Youth
318672,Step Up
615202,Captain America: The Winter Soldier
577622,Edge of Tomorrow
673946,Jack Strong
707970,Thor: Ragnarok
1096,Monty Python and the Holy Grail
654406,Spectre
624792,End of Watch
30896,Astérix & Obélix: Mission Cléopâtre
641,The Bridges of Madison County
33996,The Matrix Revolutions
31674,John Q
192901,P.S. I Love You
658317,La grande bellezza
1024,Batman
249289,Apocalypto
188513,The Bourne Ultimatum
750704,Get Out
345957,World War Z
563139,The Vow
207851,Inside Man
121413,Saw
30630,Mulholland Dr.
746043,The Girl on the Train
437710,The Proposal
749,Eyes Wide Shut
485802,We Need to Talk About Kevin
660451,Pod Mocnym Aniołem
546529,Ida
32,Four Rooms
1238,Pretty Woman
34773,Katedra
586390,Lo imposible
614165,Argo
485620,La Piel que habito
239166,There Will Be Blood
759367,Moonlight
772700,Najlepszy
1253,Fargo
776387,Wonder
31568,Vanilla Sky
752260,Coco
687674,Nightcrawler
779394,Call Me by Your Name
777,Cube
32226,Signs
108122,EuroTrip
629224,The Hunger Games: Mockingjay - Part 2
574322,How to Train Your Dragon 2
698144,John Wick
670682,Transcendence
525620,W ciemności
630808,X-Men: Days of Future Past
386028,Wanted
698207,Loving Vincent
282892,Life of Pi
7874,Moulin Rouge!
316686,"Job, czyli ostatnia szara komórka"
32021,I Am Sam
695659,Everest
139742,Silent Hill
766551,Pitbull. Niebezpieczne kobiety
8727,The Usual Suspects
481963,Dear John
146417,Click
116,City of Angels
168,Seven Years in Tibet
1100,The Meaning of Life
33288,Sen to Chihiro no Kamikakushi
31091,Legally Blonde
736788,Beauty and the Beast
8269,From Dusk Till Dawn
31508,"Monsters, Inc."
648849,The Butler
8228,Nuovo cinema Paradiso
747,"Lock, Stock and Two Smoking Barrels"
678251,Furious Seven
33328,Dogville
420435,The Fighter
1314,Gone with the Wind
36,Desperado
722146,Guardians of the Galaxy Vol. 2
560189,Fast Five
683,Notting Hill
848,The Insider
109483,Meet the Fockers
219796,Captain America: The First Avenger
32599,Phone Booth
547745,Melancholia
291383,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
125973,Shrek the Third
571114,It
119410,The Fountain
